Abs|This method calculates the absolute value of each vector element `value`, stores in a result vector and returns the result vector.|<-11, -12, -13, 14>|<11, 12, 13, 14>|||
AbsoluteCompareGreaterThan|This method performs comparison of absolute value of corresponding vector elements in `left` with those of `right` vector and if the `left`'s value is greater than the `right`'s value, sets every bit of the corresponding vector element in the  result vector to one, otherwise sets every bit of the corresponding vector element in the result vector to zero and return the result vector.|<-11.5f, -12.5f>|<10.5f, -22.5f>|<NaN, 0>||
AbsoluteCompareGreaterThanOrEqual|This method performs comparison of absolute value of corresponding vector elements in `left` with those of `right`  vector and if the `left`'s value is greater than or equal to the `right`'s value, sets every bit of the corresponding vector element in the  result vector to one, otherwise sets every bit of the corresponding vector element in the result vector to zero and return the result vector.|<-11.5f, -12.5f>|<11.5f, -22.5f>|<NaN, 0>||
AbsoluteCompareGreaterThanOrEqualScalar|This method compares the absolute value of corresponding vector elements of `left` and `right` vector and if the `left`'s element value is greater than or equal to the `right`'s element value, sets every bit of the corresponding vector element in the  result vector to one, otherwise sets every bit of the corresponding vector element in the result vector to zero and return the result vector.|<11.5>|<11.5>|<NaN>||
AbsoluteCompareGreaterThanScalar|This method compares the absolute value of corresponding vector elements of `left` and `right` vector and if the `left`'s element value is greater than the `right`'s element value, sets every bit of the corresponding vector element in the  result vector to one, otherwise sets every bit of the corresponding vector element in the result vector to zero and return the result vector.|<11.5>|<11.5>|<0>||
AbsoluteCompareLessThan|This method performs comparison of absolute value of corresponding vector elements in `left`and `right` vector and if the `left`'s value is less than to the `right`'s value, sets every bit of the corresponding vector element in the  result vector to one, otherwise sets every bit of the corresponding vector element in the result vector to zero and return the result vector.|<-11.5f, -12.5f>|<10.5f, -22.5f>|<0, NaN>||
AbsoluteCompareLessThanOrEqual|This method performs comparison of absolute value of each vector element in `left` with the absolute value of the corresponding vector element in `right` and if the `left`'s value is less than or equal to the `right`'s value, sets every bit of the corresponding vector element in the  result vector to one, otherwise sets every bit of the corresponding vector element in the result vector to zero and return the result vector.|<-11.5f, -12.5f>|<11.5f, -22.5f>|<0, NaN>||
AbsoluteCompareLessThanOrEqualScalar|This method compares the absolute value of corresponding vector elements of `left` and `right` vector and if the `left`'s element value is less than or equal to the `right`'s element value, sets every bit of the corresponding vector element in the  result vector to one, otherwise sets every bit of the corresponding vector element in the result vector to zero and return the result vector.|<11.5>|<11.5>|<NaN>||
AbsoluteCompareLessThanScalar|This method compares the absolute value of corresponding vector elements of `left` and `right` vector and if the `left`'s element value is less than the `right`'s element value, sets every bit of the corresponding vector element in the  result vector to one, otherwise sets every bit of the corresponding vector element in the result vector to zero and return the result vector.|<11.5>|<11.5>|<0>||
AbsoluteDifference|This method subtracts the corresponding vector elements of `right` vector from those of `left` vector, places the absolute values of the results in a result vector, and writes the vector to the result vector.|<11, 12, 13, 14, 15, 16, 17, 18>|<21, 22, 23, 24, 25, 26, 37, 17>|<10, 10, 10, 10, 10, 10, 20, 1>||
AbsoluteDifferenceAdd|This method subtracts the corresponding vector elements of the `right` vector from those of `left` vector, and accumulates the absolute values of the results along with the values of `addend` and returns the accumulated result.|<11, 12, 13, 14, 15, 16, 17, 18>|<21, 52, 23, 24, 25, 26, 27, 28>|<41, 32, 33, 34, 35, 36, 37, 38>|<31, 32, 23, 24, 25, 26, 27, 28>|
AbsoluteDifferenceScalar|This method subtracts the floating-point values in the elements of the `right` vector from that of `left` vector, stores the absolute value of into a result vector, and returns the result vector.|<11.5>|<16.5>|<5>||
AbsoluteDifferenceWideningLower|This method subtracts the corresponding vector elements in the `right` from those of `left` and places the absolute value in a result vector and returns the result vector. The result vector `Vector128<ushort>` as seen in below example is twice the size of input parameter `Vector4<byte>`.|<11, 2, 113, 104, 180, 11, 120, 121>|<21, 22, 23, 24, 25, 26, 27, 28>|<10, 20, 90, 80, 155, 15, 93, 93>||
